site_no,sta,station_nm,dec_lat_va,dec_long_va,state_cd,county_cd,alt_va,huc_cd,drain_area_va,contrib_drain_area_va,flow_regime,years,ecoreg,L1,L_CV,L_skew,L_kurtosis,Dmax,Dalpha1,Dalpha2,Dcrit,D,isD,signif,season_max
6406000,bat_her,"BATTLE CR AT HERMOSA,SD",43.82804586,-103.1960211,46,33,3290,10120109,169,169,intermittent,30,Black Hills Plateau,1.67,0.16,0.03,0.07,7,3.55,4.35,3,0.19,FALSE,-,0.109571546172941
6402500,bev_buf,"BEAVER CR NEAR BUFFALO GAP,SD",43.4666495,-103.3060308,46,47,3151.87,10120109,127,127,intermittent,30,Black Hills Plateau,1.71,0.09,-0.34,0.28,7,3.55,4.35,3,2.89,FALSE,-,0.133815186121961
6423500,che_was,"CHEYENNE RIVER NEAR WASTA, SD",44.08109849,-102.4012746,46,103,2260.78,10120111,12679,12674,perennial,30,Pierre Shale Plains,1.11,0.2,0.11,0.16,7,3.55,4.35,3,0.13,FALSE,-,0.128618133086984
6425500,elk_elm,"ELK CR NEAR ELM SPRINGS,SD",44.24831768,-102.5032217,46,93,2305.99,10120111,548,548,intermittent,30,Pierre Shale Plains,0.61,0.8,0.24,-0.07,7,3.55,4.35,3,1.78,FALSE,-,0.391857287947427
6402000,fal_hot,"FALL R AT HOT SPRINGS,SD",43.43053476,-103.4763069,46,47,3413.2,10120109,136,136,perennial,30,Black Hills Plateau,2.24,0.02,0,0.03,7,3.55,4.35,3,0.62,FALSE,-,0.0988800458637274
6403300,frn_fai,FRENCH CR ABOVE FAIRBURN SD,43.7172105,-103.3679713,46,33,3850,10120109,105,105,intermittent,30,Black Hills Plateau,1.61,0.18,0.02,0.08,7,3.55,4.35,3,0.12,FALSE,-,0.104000273548774
6400000,hat_edg,"HAT CR NEAR EDGEMONT,SD",43.2399736,-103.5882519,46,47,3297.31,10120108,959,956,strongly intermittent,30,Pierre Shale Plains,0.25,1.56,0.22,0.01,7,3.55,4.35,3,1.31,FALSE,-,0.945756016115351
6464100,key_key,"KEYA PAHA R NEAR KEYAPAHA,SD",43.12917164,-100.1070671,46,123,2230,10150006,535,532,perennial,30,Keya Paha Tablelands,1.73,0.1,0.06,0.09,7,3.55,4.35,3,0.16,FALSE,-,0.136863003398344
6464500,key_wew,"KEYA PAHA R AT WEWELA,SD",43.0270872,-99.780921,46,123,2049.78,10150006,1129,1121,perennial,30,Keya Paha Tablelands,1.72,0.11,0.05,0.12,7,3.55,4.35,3,0.07,FALSE,-,0.125075310764148
6449000,lcr_bel,"LAKE CR BELOW REFUGE NEAR TUTHILL,SD",43.1459166,-101.5128713,46,7,3055,10140203,121,121,intermittent,30,Sand Hills,2.02,0.15,-0.26,0.13,7,3.55,4.35,3,0.83,FALSE,-,0.10691482590544
6463500,lon_riv,"Long Pine Creek near Riverview, Nebr.",42.68944444,-99.6788889,31,17,1981.34,10150004,458,,perennial,30,Sand Hills,2.56,0.01,0.19,0.14,7,3.55,4.35,3,0.38,FALSE,-,0.112407339859757
6447500,lwr_mar,"LITTLE WHITE R NEAR MARTIN,SD",43.1669155,-101.6327322,46,7,3045,10140203,313,299,perennial,30,Sand Hills,1.73,0.09,0.07,0.12,7,3.55,4.35,3,0.09,FALSE,-,0.0463838269892059
6449500,lwr_ros,LITTLE WHITE R NEAR ROSEBUD SD,43.3255586,-100.8837556,46,121,2294.99,10140203,1033,979,perennial,30,Sand Hills,2.06,0.05,0.08,0.09,7,3.55,4.35,3,0.22,FALSE,-,0.0850763736476938
6449100,lwr_vet,"LITTLE WHITE R NEAR VETAL,SD",43.10069918,-101.232234,46,7,2780.69,10140203,607,571,perennial,30,Sand Hills,1.95,0.07,0.05,0.08,7,3.55,4.35,3,0.22,FALSE,-,0.124022918465842
6450500,lwr_whi,"LITTLE WHITE R BELOW WHITE RIVER,SD",43.60138549,-100.7498608,46,95,1912.78,10140203,1549,1495,perennial,30,Sand Hills,1.9,0.07,0.1,0.11,7,3.55,4.35,3,0.17,FALSE,-,0.149498274786839
6461500,nio_spa,"Niobrara River near Sparks, Nebr.",42.9022222,-100.3622222,31,31,2287.57,10150004,7150,,perennial,30,Sand Hills,1.99,0.03,-0.03,0.07,7,3.55,4.35,3,0.29,FALSE,-,0.125855497136777
6447000,whi_kad,"WHITE R NEAR KADOKA,SD",43.7524949,-101.5248665,46,71,2122.18,10140202,4960,4953,intermittent,30,White River Badlands,1.09,0.35,-0.14,0.14,7,3.55,4.35,3,0.4,FALSE,-,0.143716279795917
6452000,whi_oac,"WHITE R NEAR OACOMA,SD",43.74832745,-99.5564948,46,85,1377.29,10140204,9915,9855,perennial,30,Pierre Shale Plains,1.37,0.22,-0.03,0.11,7,3.55,4.35,3,0.06,FALSE,-,0.202284688678082
6446000,whi_ogl,WHITE R NEAR OGLALA SD,43.25484357,-102.8273511,46,102,2853.54,10140201,2156,2156,intermittent,30,Pine Ridge Escarpment,0.91,0.41,-0.14,0.17,7,3.55,4.35,3,0.62,FALSE,-,0.076481665958656
6445685,whi_sta,WHITE R NR NE-SD STATE LINE,43.013036,-102.8357327,46,102,3030,10140201,1367,1367,intermittent,30,Pine Ridge Escarpment,1.03,0.33,-0.09,0.17,7,3.55,4.35,3,0.39,FALSE,-,0.0730095380281204
