year,site,month,notes,name
1993,AMH1,7,,amh1a7
1994,AMH1,6,,amh1b6
1996,AMH1,7,,amh1d7
1994,BCR2,6,,bcr2b6
1996,BCR2,7,,bcr2d7
1993,BEA1,6,,bea1a6
1994,BEA1,6,,bea1b6
1996,BEA1,7,,bea1d7
1993,BEA3,6,,bea3a6
1996,BEA3,8,,bea3d8
1993,BEL1,6,,bel1a6
1994,BEL1,6,,bel1b6
1996,BEL1,8,,bel1d8
1994,BEL2,6,,bel2b6
1996,BEL2,8,,bel2d8
1993,BLP1,7,,blp1a7
1994,BLP1,7,,blp1b7
1996,BLP1,8,,blp1d8
1993,BUZ1,7,,buz1a7
1996,BUZ1,8,,buz1d8
1994,CHR1,7,,chr1b7
1996,CHR1,8,,chr1d8
1994,COR1,7,,cor1b7
1996,COR1,7,,cor1d7
1993,CRA1,6,,cra1a6
1994,CRA1,6,,cra1b6
1996,CRA1,8,,cra1d8
1994,EAN1,7,,ean1b7
1996,EAN1,8,,ean1d8
1996,EAN2,7,,ean2d7
1993,LDC1,6,,ldc1a6
1996,LDC1,7,,ldc1d7
1994,LON1,7,,lon1b7
1993,LWR1,6,,lwr1a6
1994,LWR1,5,,lwr1b5
1996,LWR1,8,,lwr1d8
1993,LWR2,6,,lwr2a6
1996,LWR2,7,,lwr2d7
1993,LWR3,6,,lwr3a6
1996,LWR3,7,,lwr3d7
1993,LWR4,6,,lwr4a6
1996,LWR4,7,,lwr4d7
1993,ME_r,7,,me_ra7
1993,MER1,7,,mer1a7
1994,MER1,6,,mer1b6
1996,MER1,8,,mer1d8
1996,MER3,7,,mer3d7
1993,NFL1,7,,nfl1a7
1994,NFL1,6,,nfl1b6
1994,NFL1,7,,nfl1b7
1996,NFL1,8,,nfl1d8
1993,PAS1,7,,pas1a7
1996,PAS1,8,,pas1d8
1993,PAS2,6,,pas2a6
1994,PAS2,7,,pas2b7
1996,PAS2,8,,pas2d8
1993,PAS3,8,,pas3a8
1994,PAS3,7,,pas3b7
1996,PAS3,8,,pas3d8
1993,POR2,6,,por2a6
1994,POR2,6,,por2b6
1996,POR2,7,,por2d7
1996,POR2,7,_2,por2d7_2
1993,POR3,7,,por3a7
1994,POR3,5,,por3b5
1993,POT1,7,,pot1a7
1994,POT1,6,,pot1b6
1996,POT1,7,,pot1d7
1993,RED1,7,,red1a7
1994,RED1,8,,red1b8
1996,RED1,7,,red1d7
1993,WCC1,6,7,wcc1a67
1996,WCC1,7,,wcc1d7
1993,WCC2,6,_7,wcc2a6_7
1994,WCC2,6,,wcc2b6
1996,WCC2,7,,wcc2d7
1996,WCC3,7,,wcc3d7
1993,WDK4,6,,wdk4a6
1994,WDK4,5,,wdk4b5
1996,WDK4,7,,wdk4d7
1993,WHI1,7,,whi1a7
1994,WHI1,6,,whi1b6
1996,WHI1,7,,whi1d7
1993,WHI2,7,,whi2a7
1994,WHI2,5,,whi2b5
1993,WOK1,6,,wok1a6
1994,WOK1,5,,wok1b5
1993,WOK2,7,,wok2a7
1994,WOK2,6,,wok2b6
1993,WOK3,6,,wok3a6
1994,WOK3,7,,wok3b7
1993,WOL1,6,,wol1a6
1994,WOL1,5,,wol1b5
1996,WOL1,7,,wol1d7
1993,WTR4,8,,wtr4a8
